table[1456]: ritter 4 1
table[1457]: bernthsen 1 1
table[1459]: bacon 11 1
table[1460]: adalia 4 2
table[1465]: charter'd 1 1
table[1466]: faiths 7 1
table[1470]: symp 3 1
table[1474]: thyrsagetae 1 1
table[1475]: pretends 1 1
table[1476]: sovereign 187 1
table[1487]: tonic 2 1
table[1489]: vaunt 4 1
table[1490]: wade 6 2
table[1491]: saturday 5 2
table[1492]: kilometre 1 3
table[1493]: wadi 4 1
table[1494]: bad 154 1
table[1495]: viceroys 1 2
table[1496]: bab 10 5
table[1497]: bag 25 1
table[1498]: melodious 7 2
table[1499]: rectorship 2 1
table[1500]: snipe 2 2
table[1501]: filigree 3 5
table[1502]: bal 9 1
table[1503]: chloroform 6 7
table[1504]: ban 10 1
table[1505]: baa 1 15
table[1506]: paryetae 1 14
table[1507]: fustian 4 1
table[1508]: bar 69 1
table[1509]: bas 8 1
table[1510]: bat 9 1
table[1511]: wondrously 1 3
table[1512]: defection 2 3
table[1513]: hyperboles 2 1
table[1514]: snipt 1 1
table[1515]: bay 88 1
table[1516]: fleas 3 2
table[1517]: inferis 3 4
table[1518]: unpromising 1 7
table[1519]: cosmography 3 2
table[1520]: jena 5 1
table[1521]: vaucresson 1 14
table[1522]: counsels 22 1
table[1523]: bau 1 13
table[1524]: respecting 12 1
table[1525]: centuries 81 2
table[1526]: accompli 2 2
table[1527]: ritibus 2 1
table[1528]: bai 1 30
table[1530]: ancien 1 1
table[1533]: liberalis 1 1
table[1534]: airys 1 2
table[1538]: anachronism 2 1
table[1540]: contractions 1 1
table[1546]: encounter 56 1
table[1547]: pasture 36 2
table[1548]: 'ceres 1 3
table[1552]: arrested 23 1
table[1553]: subtractors 1 1
table[1554]: liebetanz 1 3
table[1556]: camillo's 2 1
table[1557]: be' 1 1
table[1561]: kebir 3 1
table[1563]: avowed 6 1
table[1566]: conversed 2 1
table[1567]: waft 6 2
table[1568]: dejazmach 1 3
table[1569]: discontents 7 1
table[1570]: prancing 1 1
table[1571]: cattaro 1 5
