table[1949]: Key: boy, Frequency: 6, Probe Count: 0
table[1954]: Key: lines, Frequency: 9, Probe Count: 0
table[1957]: Key: wash, Frequency: 2, Probe Count: 0
table[1958]: Key: soundless, Frequency: 1, Probe Count: 0
table[1959]: Key: furious, Frequency: 1, Probe Count: 0
table[1960]: Key: deceive, Frequency: 3, Probe Count: 0
table[1967]: Key: exchequer, Frequency: 1, Probe Count: 0
table[1970]: Key: embassage, Frequency: 1, Probe Count: 0
table[1982]: Key: moving, Frequency: 5, Probe Count: 0
table[2030]: Key: privilege, Frequency: 1, Probe Count: 0
table[2051]: Key: 'will', Frequency: 4, Probe Count: 0
table[2053]: Key: pricked, Frequency: 1, Probe Count: 0
table[2056]: Key: splashed, Frequency: 1, Probe Count: 0
table[2060]: Key: setting, Frequency: 2, Probe Count: 0
table[2062]: Key: flesh, Frequency: 4, Probe Count: 0
table[2068]: Key: tendered, Frequency: 1, Probe Count: 0
table[2074]: Key: glaring, Frequency: 1, Probe Count: 0
table[2080]: Key: hearsay, Frequency: 1, Probe Count: 0
table[2103]: Key: clears, Frequency: 1, Probe Count: 0
table[2114]: Key: bud, Frequency: 2, Probe Count: 0
table[2123]: Key: trust, Frequency: 6, Probe Count: 0
table[2126]: Key: abused, Frequency: 1, Probe Count: 0
table[2130]: Key: but, Frequency: 353, Probe Count: 0
table[2134]: Key: interrupt, Frequency: 1, Probe Count: 0
table[2135]: Key: buy, Frequency: 1, Probe Count: 0
table[2141]: Key: abuses, Frequency: 1, Probe Count: 0
table[2142]: Key: truth, Frequency: 23, Probe Count: 0
table[2154]: Key: ways, Frequency: 1, Probe Count: 0
table[2155]: Key: question, Frequency: 20, Probe Count: 0
table[2171]: Key: upright, Frequency: 1, Probe Count: 0
table[2175]: Key: trotting, Frequency: 2, Probe Count: 0
table[2200]: Key: beyond, Frequency: 1, Probe Count: 0
table[2202]: Key: beloved, Frequency: 6, Probe Count: 0
table[2203]: Key: benedictine, Frequency: 2, Probe Count: 0
table[2229]: Key: atheling, Frequency: 1, Probe Count: 0
table[2239]: Key: bye, Frequency: 2, Probe Count: 0
table[2242]: Key: driest, Frequency: 1, Probe Count: 0
table[2254]: Key: cures, Frequency: 1, Probe Count: 0
table[2257]: Key: disappeared, Frequency: 2, Probe Count: 0
table[2258]: Key: avoid, Frequency: 1, Probe Count: 0
table[2265]: Key: queens, Frequency: 1, Probe Count: 0
table[2324]: Key: quadrille, Frequency: 4, Probe Count: 0
table[2354]: Key: glorious, Frequency: 1, Probe Count: 0
table[2368]: Key: attends, Frequency: 1, Probe Count: 0
table[2378]: Key: regular, Frequency: 2, Probe Count: 0
table[2426]: Key: revolt, Frequency: 1, Probe Count: 0
table[2439]: Key: sourly, Frequency: 2, Probe Count: 0
table[2450]: Key: largess, Frequency: 1, Probe Count: 0
table[2451]: Key: largest, Frequency: 1, Probe Count: 0
table[2463]: Key: enforced, Frequency: 1, Probe Count: 0
table[2465]: Key: can, Frequency: 86, Probe Count: 0
table[2467]: Key: cap, Frequency: 1, Probe Count: 0
table[2469]: Key: car, Frequency: 1, Probe Count: 0
table[2471]: Key: cat, Frequency: 35, Probe Count: 0
table[2477]: Key: curly, Frequency: 1, Probe Count: 0
table[2478]: Key: variations, Frequency: 1, Probe Count: 0
table[2493]: Key: bringing, Frequency: 3, Probe Count: 1
table[2495]: Key: gazers, Frequency: 1, Probe Count: 0
table[2497]: Key: mortality, Frequency: 2, Probe Count: 0
table[2503]: Key: cloying, Frequency: 1, Probe Count: 0
table[2527]: Key: converted, Frequency: 2, Probe Count: 0
table[2529]: Key: convert, Frequency: 1, Probe Count: 0
table[2546]: Key: gazeth, Frequency: 1, Probe Count: 0
table[2611]: Key: praise, Frequency: 30, Probe Count: 0
table[2659]: Key: honesty, Frequency: 2, Probe Count: 0
table[2663]: Key: hate', Frequency: 3, Probe Count: 0
table[2674]: Key: curse, Frequency: 2, Probe Count: 0
table[2682]: Key: william's, Frequency: 1, Probe Count: 0
table[2689]: Key: tibey, Frequency: 1, Probe Count: 0
table[2701]: Key: states, Frequency: 6, Probe Count: 0
table[2715]: Key: canterbury, Frequency: 1, Probe Count: 0
table[2720]: Key: travelled, Frequency: 1, Probe Count: 0
table[2724]: Key: hated, Frequency: 2, Probe Count: 0
table[2756]: Key: aside, Frequency: 3, Probe Count: 0
table[2765]: Key: buttered, Frequency: 1, Probe Count: 0
table[2802]: Key: graceful, Frequency: 1, Probe Count: 0
table[2907]: Key: dispense, Frequency: 1, Probe Count: 0
table[2910]: Key: rondure, Frequency: 1, Probe Count: 0
table[3003]: Key: cry, Frequency: 5, Probe Count: 0
table[3022]: Key: salving, Frequency: 1, Probe Count: 0
table[3024]: Key: hateth, Frequency: 1, Probe Count: 0
table[3050]: Key: william, Frequency: 11, Probe Count: 0
table[3087]: Key: cup, Frequency: 3, Probe Count: 0
table[3089]: Key: cur, Frequency: 1, Probe Count: 0
table[3091]: Key: cut, Frequency: 6, Probe Count: 0
table[3111]: Key: ah, Frequency: 12, Probe Count: 0
table[3116]: Key: am, Frequency: 56, Probe Count: 0
table[3117]: Key: an, Frequency: 82, Probe Count: 0
table[3119]: Key: breeds, Frequency: 2, Probe Count: 0
table[3122]: Key: as, Frequency: 396, Probe Count: 0
table[3123]: Key: at, Frequency: 243, Probe Count: 0
table[3128]: Key: applause, Frequency: 1, Probe Count: 0
table[3139]: Key: be, Frequency: 339, Probe Count: 0
table[3144]: Key: hearted, Frequency: 1, Probe Count: 0
table[3159]: Key: by, Frequency: 176, Probe Count: 0
table[3180]: Key: willingly, Frequency: 1, Probe Count: 0
